course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3
Data Science and Technology,Hong Kong University of Science and Technology,"Hong Kong, Hong Kong (SAR)","BSc in Data Science and Technology Program from the Hong Kong University of Science and Technology will equip students with various mathematical tools, data analytical skills and IT technologies to make sense of data obtained from various sources and to utilize them. ","15,517 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Valparaiso University,"Valparaiso, Indiana, United States","Studing Data Science program at Valparaiso University you’ll work with a variety of methods including predictive/prescriptive analytics, algorithm design and execution, applied machine learning, statistical modeling, and data visualization.","35,137 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics,University College Cork,"Cork, Ireland","Data Science and Analytics programme from University College Cork focuses on new ways to capture and understand data from the world around us, to make better decisions for people, communities and industry. ","22,000 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Statistics,Queens College Global Student Success Program,"New York City, New York, United States",The Data Science and Statistics course from Queens College Global Student Success Program offers career versatility thanks to its manifold applications. ,"16,129 EUR / year",month,12,Pre-Bachelor,Full-time,,
Data Science (Hons),University of Wolverhampton,"Wolverhampton, England, United Kingdom","The BSc in Data Science (Hons) at University of Wolverhampton will develop in you strong mathematical, statistical, computational and programming skills.","13,520 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Applied Data Science Analytics,Chatham University,"Pittsburg, California, United States","Data science is an emerging field that blends computer technology, statistics, and business to manage, organize, and analyze the massive amounts of data produced by modern technologies every day. The Applied Data Science Analytics program is offered at Chatham University.","34,601 EUR / year",month,48,Bachelor,Full-time,,
Data Science and Analytics with Foundation (Honours),University of Westminster,"London, England, United Kingdom","The Data Science and Analytics with Foundation (Honours) programme at the University of Westminster will give you a combination of analytical, technical and presentation skills that will allow you to convert data into valuable insights that support decision making. ","15,451 EUR / year",month,48,B.Sc.,Full-time,,
History with Data Science,New College of the Humanities,"London, England, United Kingdom","The central aim of the History with Data Science (Hons) programme at New College of the Humanities in partnership with Northeastern University is to enable you to understand and think rigorously about economic theory, and about the causes, consequences and implications of economic events, trends and ideas.","15,451 EUR / year",month,36,B.A.,Full-time,,
Art History with Data Science BA (Hons),New College of the Humanities,"London, England, United Kingdom",The Art History with Data Science BA from New College of the Humanities in partnership with Northeastern University will allow you to study the full range of artistic expression and hone your writing skills. ,"15,451 EUR / year",month,36,B.A.,Full-time,,
Social Data Analytics,Pennsylvania State University,"University Park, Pennsylvania, United States","Social Data Analytics at Pennsylvania State University is an interdisciplinary major that prepares students to participate in both a research environment where “big data” is a major source of insight into social and political processes, and an economy increasingly organized around data analytics.","30,227 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,University of Warwick,"Coventry, England, United Kingdom","The Data Science (BSc) degree at the University of Warwick provides an essential mix of highly developed mathematical, statistical and computing skills for those interested in working at the forefront of the modern data revolution, that is, in a career which leverages advanced technology to extract value from data - or in developing such technology.","22,305 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,Eastern University,"Philadelphia, Pennsylvania, United States","Organizations are increasingly relying on data sciences to make strategic decisions. With this emphasis, the field of Data Science is exploding, creating tremendous employment opportunities. The program is offered by Eastern University.","28,880 EUR / year",month,48,B.Sc.,Full-time,,
Data Science (Hons),The University of Winchester,"Winchester, England, United Kingdom","Data has become one of the most vital resources of this century. It is used to power much of the transformative technology we see today, from artificial intelligence and automation to advanced predictive analytics. Data Science (Hons) at The University of Winchester is an interdisciplinary field combining methods, processes, algorithms and systems to extract knowledge or insights from data. ","14,899 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Data Science,Eindhoven University of Technology (TU/e),"Eindhoven, Netherlands",Data Science from Eindhoven University of Technology (TU/e) is a new engineering discipline and the main driver for innovation in the coming years. ,"11,200 EUR / year",month,36,B.Sc.,Full-time,,
Computer Science - Data Science,University of Santo Tomas,"Manila, Philippines",Students under this Computer Science - Data Science program at University of Santo Tomas are highly trained for software and system development. ,"1,502 EUR / year",month,48,B.Sc.,Full-time,,
"Applied Mathematics, Data Science and Cryptography",The City University of New York,"New York City, New York, United States","Students in the Applied Mathematics, Data Science and Cryptography program from The City University of New York learn to use modern computing techniques to reveal hidden causal and temporal relationships within large data sets.","16,129 EUR / year",month,48,B.Sc.,Full-time,,
Statistics and Data Science,University of Arizona,"Tucson, Arizona, United States",The Statistics and Data Science program is offered by University of Arizona.,"31,738 EUR / year",month,48,B.A.,Full-time,,
Statistics and Data Science,University of Arizona,"Tucson, Arizona, United States",The Statistics and Data Science program is offered by University of Arizona.,"31,738 EUR / year",month,48,B.Sc.,Full-time,,
Data Science & Analytics,Bournemouth University,"Bournemouth, England, United Kingdom","The Data Science & Analytics programme at Bournemouth University is about the digital universe that is growing at an unprecedented pace. Both the scientific and commercial worlds are undergoing a transformation, with Data Science and Analytics, and recently also Artificial Intelligence, emerging as one of the key paradigms of scientific discovery and a competitive dimension.","16,555 EUR / year",month,48,B.Sc.,Full-time,,
Mathematical Engineering in Data Science,Pompeu Fabra University,"Barcelona, Spain","One of the most important challenges in our society is how to make sense of the unprecedented volumes of data generated on a daily basis. Social networks, personalized medicine, recommender systems or smart cities, which are present in our daily life, are clear examples of this phenomena.  The department is offering a Bachelor in Mathematical Engineering in Data Science at Pompeu Fabra University.","9,542 EUR / year",month,48,Bachelor,Full-time,,
Data Science and Analytics (Honours),University of Westminster,"London, England, United Kingdom","The Data Science and Analytics (Honours) programme at the University of Westminster will give you a combination of analytical, technical and presentation skills that will allow you to convert data into valuable insights that support decision making. ","15,451 EUR / year",month,36,B.Sc.,Full-time,,
Computer Science (Data Science) (Hons),University of Greenwich,"City of London, England, United Kingdom",This BSc Computer Science (Data Science) (Hons) at the University of Greenwich is designed for individuals wishing to pursue careers as Computer Science professionals with a specialist endorsement in Data Science.,"15,451 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Applied Data Analytics,Australian National University,"Canberra, Australian Capital Territory, Australia","The Applied Data Analytics program at the Australian National University is a three year full-time (or equivalent part-time) inter-disciplinary degree that is designed to address a global shortage of graduates with skills in data analytics as applied to high-quality, data-informed decision-making. ","28,365 EUR / year",month,36,Bachelor,Full-time,,
Science and Technology - Data Science,Aalto University,"Helsinki, Finland","Science and Technology - Data Science at Aalto University gives you the foundations to become a top-level expert in the modern knowledge society. You will obtain the required skills to solve real-world problems using methods of algorithm design, machine learning, artificial intelligence, statistical inference, operations research, and optimization.","12,000 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,Texas Christian University,"Fort Worth, Texas, United States",Managing and processing data is becoming increasingly important in the modern worlddue to the widespread availability of and access to unprecedented amounts of data usingdiverse computational resources.,"40,635 EUR / year",month,48,B.Sc.,Full-time,,
Data Analytics,Miami Dade College,"Miami, Florida, United States","Bachelor of Science in Data Analytics from Miami Dade College addresses the growing demand for skilled professionals who can identify, analyze, interpret and present the volumes of data that are available to organizations.",338 EUR / year,month,48,B.Sc.,Full-time,,
Computer Science,Roosevelt University,"Chicago, Illinois, United States","This Computer Science program offered at the Roosevelt University follows an enhanced traditional curriculum, with its emphasis on data, data theory and computing systems theory. It prepares students to pursue careers in highly advanced areas such as data systems, systems programming and software engineering, or to go on to pursue graduate degrees in computer science.","27,309 EUR / year",month,48,B.Sc.,Full-time,,
Data Management and Analysis,Colorado State University Global,Online,"If you want to broaden your skills in data management and analysis, but you’re not ready for a full degree, the Undergraduate Certificate in Data Management and Analysis at Colorado State University Global Campus might be the perfect option. ","7,284 EUR / year",,,Bachelor,Full-time,Part-time,
Data Science,Maryville University,"Saint Louis, Missouri, United States","Data Science with a minor in Business Administration is a unique and innovative program at Maryville University that integrates computer skills and mathematical theory with practical applications in economics, finance and general business. ","22,607 EUR / year",month,48,B.Sc.,Full-time,,
Statistics and Data Science,Kansas State University,"Manhattan, Kansas, United States","The Statistics and Data Science program from Kansas State University is a combination of classical mathematics, the theory of probability, and new concepts related to inductive reasoning that have developed during the past 75 years.",730 EUR / credit,month,48,Bachelor,Full-time,,
Data Science (Hons),Coventry University,"Coventry, England, United Kingdom","Responding to this trend, the new integrated Data Science (Hons) Master’s course at Coventry University brings together a range of mathematical, statistical and computational techniques, which incorporate probability, predictive analytics and advanced modelling to extract value and make sense of multiple sets and large amounts of data.","16,003 EUR / year",month,36,Bachelor,Full-time,,
HSE and University of London Double Degree Programme in Data Science and Business Analytics,National Research University - Higher School of Economics (HSE),"Moscow, Russia","The aim of this HSE and University of London Double Degree Programme in Data Science and Business Analytics programme at the National Research University - Higher School of Economics (HSE) is to train analysts and data scientists who are experienced in modern methods of machine learning, software development, working with big data and developing analytical models for business.","9,662 EUR / year",month,48,B.Sc.,Full-time,Blended Learning,
Data Science,Aberystwyth University,"Aberystwyth, Wales, United Kingdom",Are you interested in how we make sense of the terabytes of information that our computers are collecting daily? Do you want to gain the skills to predict what people will buy? Or where we need to put more resource for efficiency and organisation? Choose Data Science at Aberystwyth University. ,"17,438 EUR / year",month,36,B.Sc.,Full-time,,
Statistics and Data Science,University of Evansville,"Evansville, Indiana, United States","The Statistics and Data Science program of University of Evansville studies a rapidly growing field with applications in such areas as marketing, education, and sports, as well as scientific fields such as genomics, neuroscience, and particle physics.","31,478 EUR / year",month,48,B.Sc.,Full-time,,
International Year One in Computer Science - Data Science,INTO Saint Louis University,"Saint Louis, Missouri, United States",International Year One in Computer Science - Data Science will prepare you to enter your next semester of a bachelor's degree program at Saint Louis University. ,"22,919 EUR / year",month,6,Pre-Bachelor,Full-time,,
"International Foundation in Science, Computing, Engineering and Mathematics - Mapping and Geospatial Data Science",INTO Newcastle University,"Newcastle upon Tyne, England, United Kingdom","With the International Foundation in Science, Computing, Engineering and Mathematics - Mapping and Geospatial Data Science programme at INTO Newcastle University, you can prepare for direct entry to an undergraduate degree in a range of science or engineering related subject at Newcastle University.","22,067 EUR / year",month,9,Pre-Bachelor,Full-time,,
Data Analytics - Internet of Things,Florida Polytechnic University,"Lakeland, Florida, United States","The field of data analytics involves the most cutting-edge sectors within information technology. Data analytics extends to multiple areas, including aerospace, automotive, artificial intelligence, biotechnology, computer engineering, computer science, information technology, nanotechnology, nuclear physics, photonics, robotics, semiconductors, and telecommunications.",91 EUR / credit,month,48,B.Sc.,Full-time,,
Sociology with Data Science,University of Essex,"Colchester, England, United Kingdom",The Sociology with Data Science course offered by the University of Essex is taught by our Department of Sociology in partnership with our School of Computer Science and Electronic Engineering to provide an interdisciplinary course.,"17,714 EUR / year",month,36,B.Sc.,Full-time,,
Statistics and Data Science,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States","The Statistics and Data Science undergraduate curriculum from Carnegie Mellon University offers an engaging, flexible, and high-quality experience. It emphasizes modern statistical and computational methods, strong communication skills, and extensive hands-on experience with the analysis of data from real, interdisciplinary problems.","49,913 EUR / year",month,48,B.Sc.,Full-time,,
Data Analytics,Chapman University,"Los Angeles, California, United States",The Bachelor of Science in Data Analytics at Chapman University makes Chapman one of the few universities in the nation that offers a data science program at the undergraduate level.,"49,280 EUR / year",month,48,B.Sc.,Full-time,,
Information Systems (Data Networking),Liberty University,"Lynchburg, Tennessee, United States",Prepare for a successful career in data networking by earning a Bachelor of Science in Information Systems (Data Networking) at Liberty University.,"20,638 EUR / year",month,48,B.Sc.,Full-time,,
Data Analyst,OpenClassrooms,Online,Analyze data and model phenomena with realistic business cases. Start your career in Data Science now with this Bachelor's-level diploma - Data Analyst from OpenClassrooms.,400 EUR / module,month,12,Advanced Diploma,Part-time,,
Data Analytics,The Ohio State University,"Columbus, Ohio, United States","Although it is a relatively new field, data science and analytics has been described by the Harvard Business Review as the “sexiest job of the 21st century.” A major in Data Analytics from The Ohio State University will prepare students to work in a wide range of fields. Companies both locally and nationally are actively recruiting employees who have core and specialized skills in data analytics.","27,802 EUR / year",month,48,B.Sc.,Full-time,,
Information Studies - Data Science and Analytics,University of South Florida-Sarasota-Manatee,"Tampa, Florida, United States",The Bachelor of Science in Information Studies - Data Science and Analytics program at University of South Florida-Sarasota-Manatee is meant to prepare students for leadership careers in a wide array of environments and contexts related to the emerging knowledge economy. ,"15,023 EUR / year",month,48,B.Sc.,Full-time,,
International Foundation in Computer Science - Data Science,INTO City University London,"London, England, United Kingdom","If you’ve decided on studying a program at this university but don’t meet the academic or English language requirements, you have the option of taking an International Foundation in International Foundation in Computer Science - Data Science at INTO City University London.","19,308 EUR / year",month,9,Pre-Bachelor,Full-time,Blended Learning,
International Year One in Agricultural Sciences - Data Analytics,INTO Washington State University,"Pullman, Washington, United States",International Year One in Agricultural Sciences - Data Analytics at Washington State University will prepare you to enter your next semester of a bachelor’s degree program.,"14,742 EUR / year",month,6,Pre-Bachelor,Full-time,,
Mathematics and Computer Science - Data Analytics,Illinois Dominican University,"River Forest, Illinois, United States","In this powerful Mathematics and Computer Science - Data Analytics major at Illinois Dominican University, you’ll work at the intersection of two of today’s most important and compelling academic subjects. You’ll expand your capacity for critical thinking and problem solving—and enlarge your career options in a technology-driven world.","29,397 EUR / year",month,48,B.Sc.,Full-time,,
Data Analytics,Golden Gate University,"San Francisco, California, United States","The Bachelor of Science in Data Analytics from Golden Gate University prepares students for careers in a world increasingly dependent on data, in dynamic fields that require the application of interdisciplinary scientific and statistical methods, processes, and systems to extract knowledge or insights from data.",572 EUR / credit,month,48,B.Sc.,Full-time,Blended Learning,Online
"Information Management and Multimedia - Data Science, Protection and Security",Thomas More,"Antwerpen, Belgium","Are you passionate about the newest digital tools that help make organisations more intelligent? Do you want to learn how to filter valuable information from a mass of data, how to make this information accessible by visualising it, and how to secure this data efficiently? Enter the Information Management and Multimedia - Data Science, Protection and Security programme at Thomas More!","6,200 EUR / year",month,36,Bachelor,Full-time,,
"International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Data Science (MSci)",INTO University of Exeter,"Exeter, England, United Kingdom","The International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Data Science (MSci) at INTO University of Exeter is a form of preparation course that will allow you to advance your language skills or grades while still getting the credits you need to graduate the full-time degree.","22,619 EUR / year",month,9,Pre-Bachelor,Full-time,Blended Learning,
"International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Data Science (BSc)",INTO University of Exeter,"Exeter, England, United Kingdom","The International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Data Science (BSc) at INTO University of Exeter is a form of preparation course that will allow you to advance your language skills or grades while still getting the credits you need to graduate the full-time degree.","22,619 EUR / year",month,9,Pre-Bachelor,Full-time,Blended Learning,
Data Analytics,Roosevelt University,"Chicago, Illinois, United States","The Data Analytics programme offered by Roosevelt University students to use technology to gather, analyze and interpret data, facilitating decision-making. Students will learn methods, tools and algorithms used in modern data analysis and analytics.","27,309 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics,University of Essex,"Colchester, England, United Kingdom","Data is the lifeblood of our society. From medicine to government offices, and market research to the environment, the collection and analysis of data is crucial to understanding how to improve, create and guide products and services across the globe.","18,607 EUR / year",month,36,B.Sc.,Full-time,,
International Year One in General - Data Science,INTO Colorado State University,"Fort Collins, Colorado, United States",The International Year One in General - Data Science program at INTO Colorado State University will prepare you to enter your next semester of a bachelor’s degree program at Colorado State University.,"16,623 EUR / year",month,6,Pre-Bachelor,Full-time,,
"International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Mathematics and Data Science (BSc",INTO University of Exeter,"Exeter, England, United Kingdom","The International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Mathematics and Data Science (BSc) at INTO University of Exeter is a preparation degree designed for students who don’t yet meet the language scores or academic requirements for direct entry to their desired programme.","22,619 EUR / year",month,9,Pre-Bachelor,Full-time,Blended Learning,
"International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Mathematics and Data Science (MSc",INTO University of Exeter,"Exeter, England, United Kingdom","The International Foundation in Engineering, Mathematics, Computer Science and Physical Sciences - Mathematics and Data Science (MSc) at INTO University of Exeter is a preparation degree designed for students who don’t yet meet the language scores or academic requirements for direct entry to their desired programme.","22,619 EUR / year",month,9,Pre-Bachelor,Full-time,Blended Learning,
Data Analytics,Bellevue College,"Bellevue, Washington, United States","The Bachelor of Applied Science in Data Analytics provides graduates with the skills and knowledge needed for employment in the rapidly emerging field of data analytics, which comprises analyzing and interpreting the large datasets now available in a wide range of organizations and industries.",250 EUR / credit,month,48,B.Sc.,Full-time,,
Data Analytics,Husson University,"Bangor, Maine, United States","Data analytics is all about problem solving. An offshoot of Data Science, students in this area of study use tools from computer science, mathematics, statistics, and communication to collect, organize, and analyze material that explains problems, and then to interpret and communicate what they've learned in order to make informed decisions. ","15,323 EUR / year",,,B.Sc.,Full-time,,
Data Analysis,The Open University UK,Online,"This qualification in Data Analysis from The Open University UK equips you with the key skills to explore and analyse complex data sets and solve practical problems using applied mathematics, statistics and computing.","6,834 EUR / year",month,24,Bachelor,Full-time,Part-time,
Data Analytics,Webster University,"Webster Groves, Missouri, United States",Data Analytics at Webster University is widely embraced by companies to help executives in decision making. It allows companies to more accurately see pictures of what the business is doing and aims at enabling rich insights and better decision making.,"24,714 EUR / year",month,48,B.Sc.,Full-time,,
Data Science - Undergraduate Foundation Programme,ONCAMPUS London South Bank,"London, England, United Kingdom",This one-year (3 term) (Hons) Data Science - Undergraduate Foundation Programme from ONCAMPUS London South Bank offers successful students guaranteed progression to London South Bank University. You will study your Foundation programme at our Centre located at the heart of the London South Bank University campus.,"14,237 EUR / year",month,9,Pre-Bachelor,Full-time,,
Data Analytics - Big Data Analytics,Florida Polytechnic University,"Lakeland, Florida, United States",The B.S. in Data Analytics program has been designed to train outstanding future data scientists. The demand for such graduates and the opportunity for them to play key roles in 21st-century industry and innovation are outstanding.,91 EUR / credit,month,48,B.Sc.,Full-time,,
Data Analytics,Denison University,"Granville, Ohio, United States","With this powerful Data Analytics major, Denison University students learn how to work with quantitative and qualitative data, identify puzzles, form probing questions, evaluate claims, make inferences, and effectively communicate data-driven answers to real-world problems.","45,630 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics (Including Foundation Year),University of Essex,"Colchester, England, United Kingdom",The Data Science and Analytics (Including Foundation Year) course offered by the University of Essex will be suitable for you if your academic qualifications do not yet meet our entrance requirements for the three-year version of this course and you want a programme that increases your subject knowledge as well as improves your English language and academic skills. ,"17,714 EUR / year",month,48,B.Sc.,Full-time,,
Big Data and Business Analytics,Suffolk University,Multiple locations,"This Big Data and Business Analytics major from Suffolk University combines courses in statistics, information technology, and business, to help you build strong business decision-making skills. You’ll learn how to use business data to improve efficiency, solve problems, identify new opportunities, and prepare for the future.","33,316 EUR / year",month,48,Bachelor,Full-time,,
Data Analytics,Drake University,"Des Moines, Iowa, United States","At the turn of the new millennium, Major League Baseball was transformed by creative, new ways of crunching statistics and building competitive advantage (think Brad Pitt as Billy Beane in Moneyball). Today the field known as data analytics is not only commonplace in the world of sports.","37,022 EUR / year",month,48,B.Sc.,Full-time,,
Data Analytics - Health Informatics,Florida Polytechnic University,"Lakeland, Florida, United States",The B.S. in Data Analytics program has been designed to train outstanding future data scientists. The demand for such graduates and the opportunity for them to play key roles in 21st-century industry and innovation are outstanding.,91 EUR / credit,month,48,B.Sc.,Full-time,,
Computer Science,Saint Ambrose University,"Davenport, Iowa, United States","In the Computer Science program from Saint Ambrose University, you'll gain the skills to keep business, government and and society running smooth, secure, and always advancing. Whether you want to design mobile apps or enterprise software solutions, we can prepare you for a successful career.","28,163 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science,Laurentian University,"Greater Sudbury, Canada",The Computer Science program offered by the Laurentian University studies the foundations of computer science and how it can help people in everyday life. ,"3,868 EUR / year",month,48,B.Sc.,Full-time,,
International Bachelor Ygrec in Modelling And Data Science,EISTI,"Cergy-Pontoise, France","A 4-year challenge-based programme for excellent, and curious students.  The programme aimes to train International leader in Data Sciences, Cybersecurity, Artificial Intelligence, Economics and Financial Engineering, Quantum engineering.  The other objective is to train future top scientists, engineers and managers, both French and English speaking, open to the global complexity of the world.","10,000 EUR / year",month,48,B.Eng.,Full-time,,
Statistical Analysis and Data Science ( Honours ),Open University of Hong Kong,"Hong Kong, Hong Kong (SAR)","The Bachelor of Science with Honours in Statistical Analysis and Data Science is a Top-up Year-3 entry full-time degree programme for holders of a Higher Diploma, Associate Degree in relevant disciplines, or those of equivalent qualifications at Higher Diploma or Associate Degree level with relevance to the programme. ","9,436 EUR / year",month,24,B.Sc.,Full-time,,
Statistics,Northwestern University,"Evanston, Illinois, United States","The Statistics program of Northwestern University emphasises the application of statistical methods. Faculty members have experience in applying statistics in medicine, public policy, large-scale surveys, social experiments, the law, accounting, finance, engineering, psychological and sociological research, and laboratory experiments.","48,762 EUR / year",month,48,Bachelor,Full-time,,
Molecular and Cellular Biology - Systems and Big Data Biology Emphasis,University of Arizona,"Tucson, Arizona, United States",Understanding the molecular workings of cells is being transferred into rapid advances in medicine and agriculture. Join the Molecular and Cellular Biology - Systems and Big Data Biology Emphasis program from University of Arizona to learn more.,"31,738 EUR / year",month,48,B.Sc.,Full-time,,
Data Analytics,Shepherd University,"Shepherdstown, West Virginia, United States","Data analytics is a deep, multi-faceted subject with significant historical context, modern relevance, and future promise. Science, technology, business, crime, governance, recreation, and our private lives are all impacted by society’s increasing capacity to generate, store, and transmit digital data.","15,494 EUR / year",month,48,B.Sc.,Full-time,,
Data Analysis,The Open University UK,Online,"This Data Analysis qualification at The Open University UK introduces you to some basic skills in exploring and analysing data sets and solving practical problems using mathematics, statistics and computing. ","6,834 EUR / year",month,12,Bachelor,Full-time,Part-time,
Information Systems - Data Networking,Liberty University,Online,"Liberty University 100% online Bachelor of Science in Information Systems - Data Networking degree equips you for the future of technology management in many industries. Our online B.S. in Information Technology – Data Networking degree will teach you how to apply technology management skills to business, government, and nonprofit organizations. ",395 EUR / credit,month,42,B.Sc.,Part-time,,
Data Visualization,Purdue University,"West Lafayette, Indiana, United States","Data visualization is the art and science of communicating quantitative and qualitative information using a pictorial or graphical format which enables users to understand, use, communicate, and take action. ","24,969 EUR / year",month,48,B.Sc.,Full-time,,
Information Systems – Data Networking,Liberty University,Online,The Information Systems – Data Networking program at Liberty University equips you for the future of technology management in many industries. ,395 EUR / credit,month,42,B.Sc.,Part-time,,
Applied Analytics,Illinois Institute of Technology,"Chicago, Illinois, United States","The amount of data readily available in today’s world is astounding. But data without context lacks meaning. In the Applied Analytics program at Illinois Institute of Technology, you’ll learn how to collect, curate and analyze data, as well as how to construct a story outlining the major implications of your data samples for a range of audiences, from the general public to business leaders.","41,173 EUR / year",month,48,B.Sc.,Full-time,,
Environmental Science and Policy,"University of California, Irvine (UCI)","Irvine, California, United States","Students in the Environmental Science and Policy program at theUniversity of California, Irvine (UCI) will learn environmental problem solving by linking an understanding of natural science with socioeconomic factors and public policy.","25,801 EUR / year",month,48,B.A.,Full-time,,
Information and Data Systems (Hons),University of Bedfordshire,"Luton, England, United Kingdom",Information and Data Systems (Hons) degree offered at University of Bedfordshire responds to the growing market demand for graduates who aim to deal with the information and organisation needs of businesses.,"13,961 EUR / year",month,36,B.Sc.,Full-time,,
Business Data Analytics,Ferris State University,"Big Rapids, Michigan, United States",The Business Data Analytics program at Ferris State University was created in response to the critical need in today's workplace for employees who are capable of drawing meaningful insight from vast quantities of data. It is the only undergraduate program of its type in the state.,"11,193 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science,Coursera - University of London,Online,Earn a Bachelor of Computer Science degree offered by Coursera in partnership with the University of London and apply your creativity to in-demand technology.,"11,690 EUR / year",month,36,B.Sc.,Part-time,,
Data Analytics (Hons),University of Strathclyde,"Glasgow, Scotland, United Kingdom","This new Data Analytics (Hons) degree from the University of Strathclyde will provide you with these cutting edge skills, enabling you to tackle problems in dynamic business environments. It will make you well placed for an exciting and rewarding career in an industry that is set to expand.","16,886 EUR / year",month,48,B.Sc.,Full-time,,
Computing Science,Thompson Rivers University,"Kamloops, Canada",Become proficient in the application of computers to the solution of business-related problems with the Computing Science programme at Thompson Rivers University.,"9,438 EUR / year",month,24,Bachelor,Full-time,,
Technical Computer Science,University of Twente (UT),"Enschede, Netherlands",The Technical Computer Science programme of University of Twente (UT) combines in-depth computer science with broad technical insight.,"10,625 EUR / year",month,36,B.Sc.,Full-time,,
Computer Science,Central Washington University,"Ellensburg, Washington, United States",The Computer Science programme offered by the Central Washington University prepares students for life in an information technology society. You’ll learn technological literacy and problem solving skills and gain an understanding of the ethical and social impacts of computing in the modern world.,"18,341 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science,Illinois Institute of Technology,"Chicago, Illinois, United States",The Bachelor in Computer Science program at the Illinois Institute of Technology focuses on the concepts and techniques used in the design and development of advanced software systems.,"41,173 EUR / year",month,48,B.Sc.,Full-time,,
Information Technology,Loyola University Chicago,"Chicago, Illinois, United States","This Information Technology major prepares students who plan to design, create, and administer large information bases used by organizations. Enterprises have an ever-growing investment in the exploding quantity of information, especially in web related data, that requires increasingly sophisticated approaches for efficient access and productive use.","39,456 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science,IUBH University of Applied Sciences,"Bad Honnef, Germany","The Bachelor’s degree in Computer Science at IUBH University of Applied Sciences  is designed to train students in the fundamentals of the field, while also teaching them the practical application of these scientific principles.","11,990 EUR / year",month,36,B.Sc.,Full-time,,
Computer Science,Colorado State University,"Fort Collins, Colorado, United States","Computer Science at Colorado State University is about exploring and creating innovative solutions to complex, real-world problems. The demand for computer science professionals is skyrocketing. ","10,456 EUR / year",month,48,B.Sc.,Full-time,,
Applied Information Technology,Karel de Grote University of Applied Arts and Sciences (KdG),"Antwerpen, Belgium",Interested in computer science? The Applied Information Technology programme trains you in the skills needed by today's developers with a focus on AI,"6,172 EUR / year",month,36,Bachelor,Full-time,,
Applied Data Analytics (Honours),Australian National University,"Canberra, Australian Capital Territory, Australia","The Applied Data Analytics (Honours) program at the Australian National University is a one year full-time (or equivalent part-time) degree available in one of Computing, Statistics, or Social Sciences that exemplifies the ANU commitment to research-led education. The degree will provide you with high level preparation for life as a practitioner or for undertaking a higher degree by research. ","28,365 EUR / year",month,12,Bachelor,Full-time,,
Computer Science - Laws,Faculty of Business (BUS),Multiple locations,"A Bachelor of Computer Science - Laws from University of Wollongong equips you with a comprehensive legal education: a world-class degree that provides a thorough grounding in the law, as well as a real-world focus on the essential practical skills and the social and ethical context in which the law operates.","19,402 EUR / year",month,72,L.L.B.,Full-time,Part-time,
Environmental Informatics,Virginia Tech,"Blacksburg, Virginia, United States",Majors of the Environmental Informatics program of Virginia Tech can help address these challenges by mastering the methods and developing the tools needed to translate complex data into usable facts and figures.,"25,980 EUR / year",month,48,B.Sc.,Full-time,,
Applied Computer Science - Artificial Intelligence,Thomas More,"Geel, Belgium",Fascinated by the revolution that artificial intelligence and machine learning is bringing for people and society? Join Thomas More’s Applied Computer Science - Artificial Intelligence  Programme and shape your own digital future!,"6,200 EUR / year",month,36,Bachelor,Full-time,,
Information Technology,Georgia Southern University,"Statesboro, Georgia, United States",The Department of Information Technology at Georgia Southern University trains tomorrow’s Internet and Intranet innovators – digital problem-solvers who will lead America’s fastest growing career field.,"4,738 EUR / year",month,48,B.Sc.,Full-time,,
Data Communication and Networking (Hons),Universiti Teknologi Mara,"Kuala Lumpur, Malaysia","At present and even more in the future, smart phones, PDAs and tablet devices is getting common and they will be the media for pervasive/ubiquitous computing. This means that the information and business operations will be available at anywhere and anytime. The Data Communication and Networking (Hons) programme is offered at the Universiti Teknologi Mara.",,month,42,B.Sc.,Full-time,,
Computer Science,Capital University,"Columbus, Ohio, United States",The Computer Science program of Capital University is designed to provide a well-rounded liberal arts education and a strong professional preparation in computing.,"32,933 EUR / year",month,48,Bachelor,Full-time,,
