course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Data Analytics - Health Informatics,Florida Polytechnic University,"Lakeland, Florida, United States",The B.S. in Data Analytics program has been designed to train outstanding future data scientists. The demand for such graduates and the opportunity for them to play key roles in 21st-century industry and innovation are outstanding.,91 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Management and Multimedia,Thomas More,"Mechelen, Belgium","The Information Management and Multimedia programme at Thomas More is divided in two specialisations Data Science, Protection & Security and International Digital Product Architect. ","6,200 EUR / year",month,36.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Statistics,University of Illinois at Urbana Champaign,"Urbana, Illinois, United States","Statistics offered by the University of Illinois at Urbana Champaign is the science of modeling, summarizing, and analyzing data, and of using mathematics and computing tools to make predictions and decisions in the face of uncertainty.","29,581 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Business and Economic Analytics,Boise State University,"Boise, Idaho, United States","The Business and Economic Analytics (BEA) degree program provides its graduates with the skill set necessary to turn Big Data into actionable information that supports strategic business decision making. This unique degree program combines core business skills, data modeling, programming, statistical analysis and econometrics.","20,549 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geographic Information Science,University of Oklahoma,"Norman, Oklahoma, United States","Students pursuing degrees in geographic information science use data to map, model, and analyze various problems related to geography and meteorology. Geographic Information Science programme is offered at the University of Oklahoma .","24,632 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Geographic Information Science,University of Oklahoma,"Norman, Oklahoma, United States","Students pursuing degrees in geographic information science use data to map, model, and analyze various problems related to geography and meteorology. Geographic Information Science programme is offered at the University of Oklahoma .","24,632 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematics and Statistics,University of Oxford,"Oxford, England, United Kingdom","All over the world, human beings create an immense and ever–increasing volume of data, with new kinds of data regularly emerging from science and industry. A new understanding of the value of these data to society has emerged, and with it, a new and leading role for Statistics. The Mathematics and Statistics course is offered at the University of Oxford.","31,182 EUR / year",month,36.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Analytics (Honours),University of Technology Sydney,"Sydney, New South Wales, Australia","The Bachelor of Science in Analytics (Honours) at the University of Technology Sydney is an introduction into research training and more advanced areas of study in analytics and data science. It also fosters soft skills such as time management and independent learning, and provides hands-on experience in working on and managing a creative project.",489 EUR / credit,month,12.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Cognitive Science and Artificial Intelligence,Tilburg University,"Tilburg, Netherlands","Within the program Cognitive Science and Artificial Intelligence from Tilburg University you will learn about artificial intelligence in combination with the science of human cognition: the study of thinking, language, learning, and mental representations in relation to other psychological processes that involve attention, observation, memory, use of language, and decision making.","8,800 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Wyoming,"Laramie, Wyoming, United States","Statistics, like mathematics, is a field of study with a broad number of applications in the private and public sectors. Essentially the study of data and learning how to extract information from that data, statistics plays a large role in our public and private lives.",464 EUR / credit,,,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Systems,Washington Adventist University,"Takoma Park, Maryland, United States","The courses of study provided by the Computer Science and Information Systems programs offer students a selection that prepares them for success in system administration, scientific research, data processing management, and systems analysis. ","19,274 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Analytics,University of Technology Sydney,"Sydney, New South Wales, Australia",The Bachelor of Science in Analytics at the University of Technology Sydney focuses on the analytical skills and technical knowledge that underpin the sophisticated data analysis tools on which key aspects of business activity rely. These tools enable industry to capitalise on big data by gaining insights through expert interpretation of results of statistical and other quantitative analyses.,479 EUR / credit,month,36.0,B.Sc.,Full-time,Part-time,,,Bachelor's,B.Sc.,Full-time & Part-time,No,No,No
International Bachelor Ygrec in Modelling And Data Science,EISTI,"Cergy-Pontoise, France","A 4-year challenge-based programme for excellent, and curious students.  The programme aimes to train International leader in Data Sciences, Cybersecurity, Artificial Intelligence, Economics and Financial Engineering, Quantum engineering.  The other objective is to train future top scientists, engineers and managers, both French and English speaking, open to the global complexity of the world.","10,000 EUR / year",month,48.0,B.Eng.,Full-time,,,,Bachelor's,B.Eng.,Full-time,No,No,No
"Computer Science, Data Science Concentration",University of North Carolina Charlotte,"Charlotte, North Carolina, United States",This concentration is designed to best prepare students to match the diverse requirements of employers.  It also prepares students to pursue graduate studies in computing and other related areas.,"8,840 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems,Pennsylvania State University,"University Park, Pennsylvania, United States","The Management Information Systems Major offered by Pennsylvania State University prepares students for typical IT-related jobs such as programmer/analyst, systems analyst, data analyst, database administrator, team leader, project manager, consultant, and MIS manager. ","30,128 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Health Informatics Technology,Centennial College,"Pickering, Canada","Centennial College's Health Informatics Technology program combines knowledge of both software engineering and health care systems. In this advanced technology diploma program's courses, you learn to design, develop and maintain the next generation of electronic health records applications and many other exciting software products.","10,650 EUR / year",month,36.0,Advanced Diploma,Full-time,Blended Learning,Online,,Bachelor's,Advanced Diploma,Full-time,Yes,Yes,No
Health Studies (with an Emphasis in Health Informatics and Information Management),Boise State University,"Boise, Idaho, United States",Health science disciplines relate to the delivery of health care and services. These applied and clinical practices maintain and improve individual health. Health Studies students study science and healthcare services and systems. ,"20,549 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology,Augusta University,"Augusta, Georgia, United States",The Information Technology (IT) curriculum at the Augusta University provides students with a broad foundation of technical skills and understanding. ,"19,248 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Informatics,University of Debrecen,"Debrecen, Hungary",The Business Informatics BSc program trains professionals who bridge the gap between the developers of business software and their users. During their training students learn how to implement their knowledge in the fields of economics and IT.,"5,186 EUR / year",month,42.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Bioinformatics,California State University San Bernardino,"San Bernardino, California, United States",Bioinformatics at California State University San Bernardino is the interdisciplinary study of biology and biochemical systems using mathematics and computer science.,"14,226 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geographic Information Science and Technology Concentration,Texas A&M University,"College Station, Texas, United States",The broad objective of the academic Geographic Information Science and Technology Concentration offered by Texas A&M University is to understand and improve the human environment: Earth. ,"34,983 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Elon University,"Elon, North Carolina, United States",The Statistics major at Elon University is designed to provide strong interdisciplinary knowledge of the application and theory of statistics with an emphasis on real data collection and analysis. ,"32,775 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"Speech, Language and Hearing Sciences",Boston University,"Boston, Massachusetts, United States","The intercollegiate BS program in Linguistics and Speech, Language and Hearing Sciences at Boston University is offered by the College of Health & Rehabilitation Sciences: Sargent College in conjunction with the College of Arts & Sciences.","47,294 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics (Hons),University College Dublin,"Dublin, Ireland","University College Dublin offers a Statistics (Hons) programme. All of the sciences, especially the biological sciences, have in recent years become more quantitative and the skills gained from studying Statistics in UCD Science complement all of the University’s Science degrees.",,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Wisconsin Madison,"Madison, Wisconsin, United States",Modern statistics is an exciting subject that affects most aspects of modern living. It has been developed to deal rationally and objectively with the uncertainty that accompanies variation in phenomena as highly complex as the interplay of the many factors that affect our environment. We offer a bachelor degree in Statistics at the University of Wisconsin Madison.,"33,391 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Wisconsin Madison,"Madison, Wisconsin, United States",Modern statistics is an exciting subject that affects most aspects of modern living. It has been developed to deal rationally and objectively with the uncertainty that accompanies variation in phenomena as highly complex as the interplay of the many factors that affect our environment. We offer a bachelor degree in Statistics at the University of Wisconsin Madison.,"33,391 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Artificial Intelligence with Industrial Experience (Hons),The University of Manchester,"Manchester, England, United Kingdom","This Artificial Intelligence with Industrial Experience (Hons) programme is offered at The University of Manchester. One of the challenges in computing is to make computers demonstrate intelligent behaviour, so that they can solve new problems or cope with the unknown. Current achievements include image and voice recognition, and NASA's Mars Rovers.","26,416 EUR / year",month,60.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Artificial Intelligence,The University of Manchester,"Manchester, England, United Kingdom","This Artificial Intelligence programme is offered at The University of Manchester. One of the challenges in computing is to make computers demonstrate intelligent behaviour, so that they can solve new problems or cope with the unknown. Current achievements include image and voice recognition, and NASA's Mars Rovers. ","26,416 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Computer Science (State University of New York - Empire State College),New York College,"Athens, Greece",The BS in Computer Science provides the opportunity to graduates to enroll to the MSc in Internet Engineering and Web Management or MBA in Management of Information Systems both offered at New York College. Most students choose to combine work with postgraduate studies in one of our MSc/MBA programs.,280 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Analysis and Technology and Economics,University of Strathclyde,"Glasgow, Scotland, United Kingdom",The BA in Business Analysis and Technology and Economics at The University of Strathclyde have an excellent general awareness of how a business works. They’re also able to apply advanced analytical methods to deal with specific management issues.,"16,840 EUR / year",month,36.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Information Science,University of South Carolina,"Columbia, South Carolina, United States","The Information Science major at the University of South Carolina focuses on effectively collecting, storing, managing, preserving and using information to benefit businesses and non-profits. Information science brings together technology, information and users to achieve strategic goals of organizations and ultimately improve society.","28,974 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology,University of Technology Sydney,"Sydney, New South Wales, Australia","This Bachelor of Science in Information Technology course at the University of Technology Sydney offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.",549 EUR / credit,month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geography - Geographic Information Systems,Hofstra University,"Hempstead, New York, United States","The Geography - Geographic Information Systems program from Hofstra University combines a comprehensive liberal arts program with a focus on human, social geography and technological training in geographic data management, analysis, and communication.","41,063 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Intelligence Analysis,James Madison University,"Harrisonburg, Virginia, United States",The Bachelor of Science in Intelligence Analysis at the James Madison University was designed specifically for students who seek a career as an intelligence analyst (either in the U.S. government or the private sector).,"20,873 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Artificial Intelligence,The University of Manchester,"Manchester, England, United Kingdom","One of the challenges in computing is to make computers demonstrate intelligent behaviour, so that they can solve new problems or cope with the unknown. The Artificial Intelligence programme is offered at The University of Manchester.","26,416 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geography - Geographic Information Systems,Hofstra University,"Hempstead, New York, United States","The Geography - Geographic Information Systems program from Hofstra University combines a comprehensive liberal arts program with a focus on human, social geography and technological training in geographic data management, analysis, and communication.","41,063 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Intelligence Analysis,James Madison University,"Harrisonburg, Virginia, United States",The Bachelor of Science in Intelligence Analysis at the James Madison University was designed specifically for students who seek a career as an intelligence analyst (either in the U.S. government or the private sector).,"20,873 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Electronic and Information Engineering (Honours),The Hong Kong Polytechnic University,"Hong Kong, Hong Kong (SAR)","This Electronic and Information Engineering (Honours) from The Hong Kong Polytechnic University combines sound scientific principles with engineering applications to help students develop into competent and effective engineering professionals in the areas of integrated circuit design, electronics, telecommunications, computers, embedded systems, and multimedia technologies and programming.","15,557 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Artificial Intelligence,The University of Manchester,"Manchester, England, United Kingdom","One of the challenges in computing is to make computers demonstrate intelligent behaviour, so that they can solve new problems or cope with the unknown. The Artificial Intelligence programme is offered at The University of Manchester.","26,416 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,George Washington University,"Washington, D. C., Washington, D.C., United States","Statistics program offered by George Washington University plays an important role throughout society, providing methodologies for making advances in medicine, genetics and other research arenas and for making decisions in business and public policy.","50,604 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Health Information Management,Stratford University,"Falls Church, Virginia, United States","The mission of the Bachelor of Science in Health Information Management (HIM) program offered by Stratford University is to produce ethical healthcare professionals who are equipped with the knowledge, skills, and dispositions to be successful managers of healthcare data and information. ",320 EUR / credit,month,30.0,B.Sc.,Full-time,Online,,,Bachelor's,B.Sc.,Full-time,Yes,Yes,No
Statistics,The City University of New York,"New York City, New York, United States",Students can choose a major in Statistics as part of a BA degree at The City University of New York.,"16,076 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Business Information Technology,Laurea University of Applied Sciences,"Espoo, Finland","The Business Information Technology degree programme, starting for the first time at Laurea University of Applied Sciences, was designed as an online programme from the very beginning. The programme combines information technology and business management expertise in multiple ways. ","8,000 EUR / year",month,42.0,B.B.A.,Full-time,,,,Bachelor's,B.B.A.,Full-time,No,No,No
Geographic Information Science,University of Utah,"Salt Lake City, Utah, United States",The BS degree in Geographic Information Science at the University of Utah is a new degree in one of the fastest growing STEM areas of science and information technology.,"20,831 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Sciences,Robert Morris University,"New York City, New York, United States","The B.S. in Information Sciences focuses on using technology to manage information. The program includes a core of courses focusing on business programming, e-commerce technology, systems analysis and design, operating systems concepts, database management systems, networks and data communications, and project management.","12,191 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Applied Statistics,California Baptist University,"Riverside, Ohio, United States","CBU faculty and staff have access to supercomputers located all over the country, and can model, simulate and predict using big sample data. This means that students of the Applied Statistics program at California Baptist University  are trained at the bleeding edge of technology and can use the most advanced software available.","28,472 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Statistics,University of British Columbia,Multiple locations,"This Statistics program from University of British Columbia emphasizes the role of statistics within the general framework of problem solving, and helps you develop an understanding of the concepts of observation and validation. You'll learn more about critical statistical reasoning, with emphasis on the development of computational, mathematical and communication skills, both oral and written.","6,313 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Systems,Southeast Missouri State University,"Cape Girardeau, Missouri, United States",The Computer Information Systems program of the Southeast Missouri State University teaches software development in focused application areas.,373 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Informatics - Computer Science,Indiana University Bloomington,"Bloomington, Indiana, United States","In the B.S. in Informatics - Computer Science program at Indiana University Bloomington and then in your career, you’ll apply your tech knowledge to another area you’re interested in to create new uses for technology and the way people interact with it. ","33,115 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Systems,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States","From programming to project management to real-world projects, the Information Systems Program at Carnegie Mellon University has it all. The flexible nature of the program encourages students to explore their own interest in contemporary content areas such as: business/enterprise systems, computing and information systems & technology, social and global systems.","49,749 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Systems,University of Wisconsin - Stevens Point,"Madison, Wisconsin, United States",The Computer Information Systems program at the University of Wisconsin - Stevens Point provides rich academic training and practical experience.,"5,324 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Quantitative Social Analysis,Hong Kong University of Science and Technology,"Hong Kong, Hong Kong (SAR)","The Quantitative Social Analysis from Hong Kong University of Science and Technology UG major in the HKUST Division of Social Science prepares students for the rapidly growing number of positions in business, government, and the non-profit sector that involve the analysis of social data and interpretation and presentation of results.","15,466 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Science,Elon University,"Elon, North Carolina, United States","The Information Science discipline at Elon University centers on using technology to solve a wide-range of complex problems that involve capturing, analyzing, visualizing and managing large sets of data. ","32,775 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Statistics,The University of Akron,"Akron, Ohio, United States","The Statistics program of The University of Akron studies the discipline that deals with the collection, analysis, interpretation and presentation of data. It can be applied to a wide array of academic areas, from biology, chemistry and anthropology to geography, political science and sociology.","13,397 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistical Analysis and Data Science ( Honours ),Open University of Hong Kong,"Hong Kong, Hong Kong (SAR)","The Bachelor of Science with Honours in Statistical Analysis and Data Science is a Top-up Year-3 entry full-time degree programme for holders of a Higher Diploma, Associate Degree in relevant disciplines, or those of equivalent qualifications at Higher Diploma or Associate Degree level with relevance to the programme. ","9,404 EUR / year",month,24.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Science,University of North Texas,"Denton, Texas, United States","Are you computer-savvy? Do you value being organized? If so, you should consider pursuing a Bachelor of Science degree in Information Science at the University of North Texas.","2,593 EUR / year",,,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Science and Information Security,The City University of New York,"New York City, New York, United States","The major in Computer Science and Information Security from The City University of New York offers the computing, quantitative and analytical expertise public and private organizations need to advance the practice of digital forensics and cybersecurity. ","16,076 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geographic Information Science,Louisiana Tech University,"Ruston, Louisiana, United States","Louisiana Tech University's academic program in Geographic Information Science (GIS) is a robust, hands-on program that allows students to have the opportunity to discover the intersection between technology and geospatial data and this connection’s real-world applications. ","9,566 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Computer Science and Engineering - Oil and Gas Informatics,University of Petroleum and Energy Studies,"Dehra Dun, India",The Computer Science and Engineering - Oil and Gas Informatics program of the University of Petroleum and Energy Studies equips professionals who cater to the needs of the oil and gas industry.,"2,453 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Statistics,California Polytechnic State University,"San Luis Obispo, California, United States","Statistics at California Polytechnic State University is the science of collecting, organizing, analyzing and interpreting data using visualizations and models to help others make informed decisions.","10,268 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Sciences,University of New Brunswick,"Saint John, Canada","The Information Sciences program of University of New Brunswick will teach students to will learn how to establish programs to collect and analyze data, which will better equip people to function within their work environments.","10,967 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Northwestern University,"Evanston, Illinois, United States","The Statistics program of Northwestern University emphasises the application of statistical methods. Faculty members have experience in applying statistics in medicine, public policy, large-scale surveys, social experiments, the law, accounting, finance, engineering, psychological and sociological research, and laboratory experiments.","48,601 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Bioinformatics,Saint Edward's University,"Austin, Texas, United States",The Bachelor of Science in Bioinformatics from Saint Edward's University engages you in an interdisciplinary field that enables students to make sense out of the wave of ‘big data’ that is key to personalized medicine and many areas of biological science.,"40,354 EUR / full",,,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Systems and Information Science,Syracuse University,"Syracuse, New York, United States","In essence, students in the SIS program learn what they can do with computers and how best to do it. As the name implies, the focus is on information and how it can be stored, manipulated and retrieved. Implementation of large-scale software systems and working with a group of people in achieving such goals are emphasized in the SIS program.","45,125 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Science and Engineering - Artificial Intelligence and Machine Learning,University of Petroleum and Energy Studies,"Dehra Dun, India",Artificial Intelligence (AI) as a term has been there since 1955. Analysts have predicted AI to become a $46 billion market by 2020. Learn more at the Computer Science and Engineering - Artificial Intelligence and Machine Learning program of the University of Petroleum and Energy Studies.,"2,494 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Mathematics and Statistics,Murdoch University,"Perth, Western Australia, Australia","Discover how mathematics and statistics apply to almost everything – from banking and finance to explaining natural phenomena like plant growth and ocean waves – as you develop a comprehensive understanding of the concepts, and a wide range of technical skills. Mathematics and Statistics course is offered at Murdoch University.","18,332 EUR / year",month,36.0,B.Sc.,Full-time,Part-time,,,Bachelor's,B.Sc.,Full-time & Part-time,No,No,No
Statistics,University of Saskatchewan,"Saskatoon, Canada","Statistics program offered by University of Saskatchewan is the science of learning from data. Statisticians can analyze and draw practical conclusions from data and provide crucial guidance in determining what information is reliable and which predictions can be trusted. Many economic, social, political, and military decisions cannot be made without statistical techniques.","11,622 EUR / year",month,48.0,B.Sc.,Full-time,Part-time,,,Bachelor's,B.Sc.,Full-time & Part-time,No,No,No
Molecular and Cellular Biology - Systems and Big Data Biology Emphasis,University of Arizona,"Tucson, Arizona, United States",Understanding the molecular workings of cells is being transferred into rapid advances in medicine and agriculture. Join the Molecular and Cellular Biology - Systems and Big Data Biology Emphasis program from University of Arizona to learn more.,"31,633 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Manitoba,"Winnipeg, Canada","We offer a bachelor degree in Statistics at the University of Manitoba. Statistics is the mathematical science of data and consists of statistical principles and methods for collecting data, organizing data and analyzing data to make statistical decisions in practical situations involving uncertainty.","10,501 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information and Computing Science,Xi'an Jiaotong-Liverpool University,"Suzhou, China","The BSc Information and Computing Science programme at Xi'an Jiaotong-Liverpool University  will provide a broad knowledge of information science and computing science. It contains designing, developing, building software systems by writing algorithms in order to process, structure and manage information.","10,782 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geographic Information Science,California State University Long Beach,"Long Beach, California, United States","This Geographic Information Science certificate at California State University Long Beach provides experience in quantitative spatial analysis using Geographic Information Systems software, remotely sensed imagery and field-derived data, and effective communication through maps.","2,481 EUR / year",month,48.0,Graduate Certificate,Full-time,,,,Bachelor's,Graduate Certificate,Full-time,No,No,No
"Computer Science, Bioinformatics Concentration",University of North Carolina Charlotte,"Charlotte, North Carolina, United States","The Concentration in Bioinformatics presents up-to-date methods for data handling and interpretation while developing an understanding of critical issues in bioinformatics research design, statistical data analysis, and the application of genomics domain knowledge. ","3,035 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Artificial Intelligence and Computer Science,University of Sheffield,"Sheffield, England, United Kingdom","Artificial Intelligence and Computer Science degree offered at University of Sheffield will help you to become more than just a programmer - you will also develop skills in teamwork, communication, systems design and entrepreneurship. ","26,141 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information and Decision Sciences,University of Illinois at Chicago,"Chicago, Illinois, United States",The Information and Decision Sciences program at the University of Illinois at Chicago is committed to educating the next generation of business leaders in these high job growth areas at the cutting edge of current business innovations.,"21,439 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Data Analytics,Shepherd University,"Shepherdstown, West Virginia, United States","Data analytics is a deep, multi-faceted subject with significant historical context, modern relevance, and future promise. Science, technology, business, crime, governance, recreation, and our private lives are all impacted by society’s increasing capacity to generate, store, and transmit digital data.","15,443 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"Business, Management Information Systems - Business Analytics",Wright State University,"Dayton, Ohio, United States","Why choose the Business, Management Information Systems - Business Analytics course offered by Wright State University ? Business analytics is the practice of discovering business insights through exploration and analysis of business information and influence business decision-making through powerful and interactive visualization and data communication.","16,750 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Rice University,"Houston, Texas, United States",Statistics coursework at Rice University acquaints students with the role played in the modern world by probabilistic and statistical ideas and methods.,"43,483 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Applied Computer Science - Bioinformatics,George Mason University,"Fairfax, Virginia, United States",The Computer Science Department from George Mason University offers two Bachelor of Science degrees: the  BS in Computer Science and the inter-disciplinary BS in Applied Computer Science. Students can pursue the BS in Applied Computer Science - Bioinformatics concentration.,"10,859 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Data Analysis,The Open University UK,Online,"This Data Analysis qualification at The Open University UK introduces you to some basic skills in exploring and analysing data sets and solving practical problems using mathematics, statistics and computing. ","6,815 EUR / year",month,12.0,Bachelor,Full-time,Part-time,,,Bachelor's,Bachelor,Full-time & Part-time,No,No,No
Information Systems - Data Networking,Liberty University,Online,"Liberty University 100% online Bachelor of Science in Information Systems - Data Networking degree equips you for the future of technology management in many industries. Our online B.S. in Information Technology – Data Networking degree will teach you how to apply technology management skills to business, government, and nonprofit organizations. ",393 EUR / credit,month,42.0,B.Sc.,Part-time,,,,Bachelor's,B.Sc.,Part-time,No,No,No
Information Technology,Macquarie University,"Sydney, New South Wales, Australia","In this Information Technology degree from Macquarie University, you’ll acquire foundational skills in programming, data storage and modelling, networking and cyber security. ","23,939 EUR / year",month,36.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Science and Technology,Missouri University of Science and Technology,"Missouri City, Texas, United States",Information Science and Technology at Missouri University of Science and Technology offers a bachelors degree focused on today's cutting-edge information technology.,"23,042 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Applied Business Analytics,Grand Canyon University,"Phoenix, Arizona, United States",The Bachelor of Science in Applied Business Analytics from Grand Canyon University is oriented toward students who have a business mindset and propensity for data and analytics.,"14,261 EUR / year",,,B.Sc.,Full-time,Part-time,Online,,Bachelor's,B.Sc.,Full-time & Part-time,Yes,Yes,No
Environmental Science - Environmental Analysis,The City University of New York,"New York City, New York, United States",The Interdisciplinary Program in Environmental Science - Environmental Analysis  B.S. at The City University of New York is a 46-credit major.,"16,076 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
