course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Software Engineering,University of Turku,"Turku, Finland",The Software Engineering masters programme at the University of Turku is guided by directly involved industry partners in Europe and Southern Africa to provide a international programme in professional practise. ,"12,000 EUR / year",month,24,M.Sc.,Full-time,,,
Interaction Design,Istituto Europeo Di Design (IED),"Barcelona, Spain","The Master in Interaction Design from Istituto Europeo Di Design (IED) aims to train professionals who aspire to be tomorrow’s digital leaders equipped with the collaborative, critical thinking and technical skills required to react, adapt and leverage the impacts of digital transformation and understand how the digital can be harnessed for strategic design.","15,400 EUR / year",month,6,M.A.,Full-time,,,
Applied Data Science,Charles Sturt Online,Online,"The Graduate Certificate in Applied Data Science from Charles Sturt University will take you behind the curtain and equip you with the skills to extract value from masses of data, then use it to inform decisions – big and small.","8,782 EUR / year",month,6,Postgraduate Certificate,Full-time,Part-time,,
Data Science,London South Bank University,"London, England, United Kingdom",This postgraduate Data Science Masters course offered at London South Bank University is uniquely designed for both computing and non-computing graduates wishing to pursue a career in data science community.,"15,208 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science and Innovation,University of Technology Sydney,"Sydney, New South Wales, Australia",The Master of Data Science and Innovation at the University of Technology Sydney is a world-leading program of study in analytics and data science.,510 EUR / credit,month,24,Full-time,Part-time,,,
Data Science,Heriot-Watt University Dubai,"Dubai, United Arab Emirates","With this Data Science programme at Heriot-Watt Dubai you will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them.","20,183 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Health Data Science,Swansea University,"Swansea, Wales, United Kingdom",All programmes of study will be delivered in a dual way combining both online and face to face teaching as appropriate. Face to face teaching will be delivered in a blended format with no large lectures to begin with. Please visit our website for more information. The Health Data Science programme is offered by Swansea University.,,month,12,Full-time,Part-time,,,
Data Science,University of Helsinki,"Helsinki, Finland","In the interdisciplinary Master's Programme in Data Science from University of Helsinki, you are trained to work in data-intensive areas of industry and science, with the skills and knowledge needed to construct solutions to complex data analysis problems.","15,000 EUR / year",month,24,M.Sc.,Full-time,,,
Cloud Computing MicroMasters Program,University of Maryland University College - UMUCx,Online,"EdX is an online learning platform trusted by over 12 million users offering the Cloud Computing MicroMasters Program in collaboration with University of Maryland University College - UMUCx. Gain expertise in one of the hottest fields in IT, as you learn how to design, implement, and manage cloud computing systems.",864 EUR / full,month,8,Pre-Master,Part-time,,,
Extended MSc International Business with Data Analytics with Advanced Practice,Ulster University London Branch,"London, England, United Kingdom","The Extended MSc International Business with Data Analytics with Advanced Practice from Ulster University London Branch integrates the Graduate Certificate programme to allow entry for students with equivalent to a standard degree (third class, pass or ordinary) with the MSc International Business with Data Analytics which incorporates a compulsory work internship or an applied consulting project.","24,280 EUR / year",month,24,Pre-Master,Full-time,,,
Data Science,The University of Alabama at Birmingham,"Birmingham, Alabama, United States",The Master of Science in Data Science program from The University of Alabama at Birmingham prepares graduate students for a professional career in the field of big data. ,"16,720 EUR / year",month,12,M.Sc.,Full-time,,,
Statistics with Data Analytics,Brunel University London,"London, England, United Kingdom",The Statistics with Data Analytics course offered by Brunel University London is designed to train the next generation of statisticians with a focus on the field of data analytics. Employers expect skills in both statistics and computing.,"21,278 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of North Carolina Wilmington,"Wilmington, North Carolina, United States","The Master of Data Science from University of North Carolina Wilmington is a professional interdisciplinary program that emphasizes computational-based applications of traditional data analysis methods and current trends in data mining and machine learning to turn data into information, and information into insight.","16,084 EUR / year",month,16,M.Sc.,Full-time,,,
Data Analytics and Marketing (CIM),Arden University,Online,This Dual Master’s Degree in Data Analytics and Marketing (CIM) is offered by Arden University.,"6,957 EUR / year",month,18,M.Sc.,Part-time,,,
Data Analytics,University of Strathclyde,"Glasgow, Scotland, United Kingdom","Studying a degree in Data Analytics at the University of Strathclyde, you'll be learning at a multi-award-winning academic organisation. ","22,459 EUR / year",month,12,Full-time,,,,
Data Science Full-Time Professional Certificates,UC Berkeley Global,"Berkeley, California, United States","Data is everywhere: e-commerce sales, app downloads, smartphones, supply chain management, bioinformatics and connected devices. Begin your journey to a data analyst or data scientist role—or add data analysis to your current or future work—with the Data Science program at Berkeley Global. ","9,539 EUR / full",month,5,Pre-Master,Full-time,,,
Business Analytics and Operations Research,Tilburg University,"Tilburg, Netherlands","Do you like working with data and mathematics? Do you want to specialize in solving the most complex decision problems, from supply chain management to vehicle routing and from donor kidney allocation to train scheduling? Then Business Analytics and Operations Research offered at Tilburg University is the right program for you.","14,600 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,South Dakota State University,"Brookings, South Dakota, United States", The Data Science program at South Dakota State University  prepares students to use the power of data to help organizations of all sorts and society as a whole to make better decisions. ,561 EUR / credit,month,12,M.Sc.,Full-time,Blended Learning,,
Digital Marketing and Data Science,emlyon business school,Multiple locations,"The MSc in Digital Marketing and Data Science from emlyon business school pedagogy uniquely combines a strong academic background in business studies, marketing, data analysis and strategy with an in-depth and specific digital knowledge and data driven marketing.","16,333 EUR / year",month,18,M.Sc.,Full-time,,,
Extended MSc International Business with Data Analytics,Ulster University London Branch,"London, England, United Kingdom","The Extended MSc International Business with Data Analytics from Ulster University London Branch integrates the stand alone Graduate Certificate programme to allow entry for students with equivalent to a standard degree (third class, pass or ordinary).","18,210 EUR / year",month,15,Pre-Master,Full-time,,,
Data Analytics,Faculty of Technology,"Portsmouth, England, United Kingdom","If you love finding trends, patterns and valuable information hidden inside complicated data sets, our MA Data Analytics degree course at University of Portsmouth will help you develop the skills and knowledge you need to succeed.","18,100 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Information Technology - Information Systems Development,Faculty of Business (BUS),"Wollongong, New South Wales, Australia","The Master of Information Technology - Information Systems Development offered by the University of Wollongong involves an in-depth study of the organisational, economic, regulatory and socio-technical issues that arise in the implementation of IT in business and government, and how to effectively manage those issues.","20,513 EUR / year",month,24,Full-time,Part-time,,,
Data Science,Radboud University,"Nijmegen, Netherlands","Data plays a role in almost every scientific discipline, business industry, or social organisation. Medical scientists sequence human genomes, astronomers generate terabytes of data per hour and the police employ data models that predict where crimes will occur. In this specialisation you’ll learn how to turn data into knowledge and solutions, with the help of computers.","12,645 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,James Cook University,Online,"The Data Science program at James Cook University puts professionals who recognise the power of data and numbers ahead of the pack. Fully online, this is an innovative and technologically dynamic postgraduate course.","2,041 EUR / year",month,24,Part-time,,,,
Data Analyst for Spatial and Environmental Economics (DASEE),University Bourgogne Franche-Comté,"Dijon, France",The international research Master’s program Data Analyst for Spatial and Environmental Economics (DASEE) is a two-year program offered by University Bourgogne Franche-Comté.,243 EUR / year,month,24,Full-time,,,,
Big Data Science,Kozminski University,"Warsaw, Poland","The Big Data Science specialization at Kozminski University, on the Master in Finance and Accounting studies, is a two-year program conducted in English, which is held in collaboration with industry experts from global companies.","5,540 EUR / year",month,24,Full-time,,,,
Data Science,IMT Atlantique - Graduate Engineering School,"Brest, France","The Data Science programme offered by the IMT Atlantique - Graduate Engineering School is aimed at future experts in the design of high-performance support systems for data mining, knowledge extraction and decision aiding.","2,550 EUR / year",month,24,M.Sc.,Full-time,,,
Master AIRE - Digital Sciences,The Center for Research and Interdisciplinarity (CRI),"Paris, France",Students will have the opportunity to learn the foundations of Digital Sciences and deep in the specialized scientific fields of Artificial Intelligence and Data Science within an approach Ethics by Design.,"3,770 EUR / year",month,24,M.Sc.,Full-time,Blended Learning,,
Big Data Analytics,Engineering and Technology College,"Derby, England, United Kingdom",The MSc in Big Data Analytics at University of Derby paves the way for you to pursue a career applying leading-edge software and analytics technology or conducting research in this vitally important field.,"16,224 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Information Systems Management (ISM),Faculty of Informatics and Statistics,"Prague, Czech Republic","The Information Systems Management (ISM) program at the University of Economics, Prague is designed to train specialists in the development and management of information systems, existing either in business companies or in the public sector, able to flexibly respond to the needs and challenges of the continuously changing IS/ICT and business environments.","3,800 EUR / year",month,24,Full-time,,,,
Data Science,Leeds Beckett University,"Leeds, England, United Kingdom","Data and information is recognised as a central to the economic, business and cultural life of our society today. This Data Science course from Leeds Beckett University will equip you with the advanced information and analytic skills to thrive in the digital knowledge economy.",,month,12,M.Sc.,Full-time,Part-time,,
Economic Data Analysis,Faculty of Informatics and Statistics,"Prague, Czech Republic","The aim of this Economic Data Analysis program at the University of Economics, Prague  is to provide students with knowledge and abilities in the area of economic data analysis. ","3,800 EUR / year",month,24,Full-time,,,,
Business Analytics,Clark University,"Worcester, Massachusetts, United States","The Business Analytics program offered by the Clark University will give you a thorough grounding in the three key areas of data analytics—descriptive (what happened), diagnostic (why it happened), and prescriptive (how to make it happen).","4,396 EUR / module",,,M.Sc.,Full-time,Part-time,Online,
Open Society Technologies,Tallinn University,"Tallinn, Estonia","The mission of the curriculum of the Open Society Technologies course at Tallinn University is developing new professionals like open society system architects, analysts, software developers or development managers, gardeners of cyber-physical systems in open society, digital policy advisors in society, social entrepreneurs etc. able of maintaining the dimensions of open society.","3,800 EUR / year",month,24,M.A.,Full-time,,,
Information Systems Engineering and Management,Karlsruhe Institute of Technology (KIT),"Karlsruhe, Germany","The Information Systems Engineering and Management (ISEM) program offered by Karlsruhe Institute of Technology (KIT) qualifies graduates to drive digital transformation of products, services, and organizations from a business and IT perspective. Graduates encounter digitalization challenges with an engineering orientation and solve them with the help of modern management methods. ","18,000 EUR / year",month,20,M.Sc.,Part-time,,,
Data Science and Engineering,Hamad Bin Khalifa University,"Ar Rayyan, Qatar",The Data Science and Engineering programme at Hamad Bin Khalifa University is a graduate program in the emerging field which addresses the growing need to utilize the massive amounts of unstructured data.,,month,24,M.Sc.,Full-time,,,
Applied Data Science,Coursera - University of Michigan,Online,The Master of Applied Data Science (MADS) degree offered by Coursera in partnership with the University of Michigan is designed for aspiring data scientists to learn and apply skills through hands-on projects. You’ll learn how to use data to improve outcomes and achieve ambitious goals.,"36,648 EUR / year",month,12,Part-time,,,,
Physics of Data,School of Science,"Padova, Italy",This Physics of Data programme from the University of Padova provides new theoretical and computational tools to tackle the explosion of datasets within the physicist mindset. It combines advanced knowledge in the field of Physics with a high-level training in Data Science.,"2,600 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,School of Science,"Padova, Italy",This Data Science programme at the University of Padova intends to build data scientists whose solid technical background is complemented by a multidisciplinary preparation on various fields in which big data emerge.,"2,600 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science and Engineering,Politecnico di Torino,"Torino, Italy","The Data Science and Engineering programme at Politecnico di Torino aims to train multidisciplinary professionals (data scientists and data engineers) by providing strong methodological and engineering skills, high abstraction capabilities and an analytical approach to address data-driven problems.",,month,24,M.Sc.,Full-time,,,
Big Data Analytics for Business,IÉSEG School of Management,"Lille, France","The Master of Science in Big Data Analytics for Business program at IÉSEG School of Management is a one year program completely taught in English which aims at training data scientists in the field of (online) marketing, finance, and operations.","16,500 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,University of Queensland,"Brisbane, Queensland, Australia","The Master of  Data Science program offered at the University of Queensland is the most comprehensive data science program in Australia, which combines high-level analytical and technical skills with industry-specific knowledge and essential professional attributes.","27,905 EUR / year",month,24,Full-time,Part-time,,,
Data Science,Deakin University ,"Melbourne, Victoria, Australia","Become a data specialist capable of using data to form insights, support decision making and create a competitive advantage in today's business world with this Master of Data Science from Deakin University.","21,646 EUR / year",month,24,Full-time,Part-time,Online,,
Computer Networking,Wrexham Glyndwr University,"Wrexham, Wales, United Kingdom",The Computer Networking programme offered by the Wrexham Glyndwr University takes your hands-on computer networking skills to the next level with our industry-focused course. ,"13,796 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Online MSc Data Analytics,University of Cumbria,Online,The Online MSc Data Analytics at Robert Kennedy College is designed to accommodate a broad audience of learners whose particular pursuits in data analytics might be either technical or business focused. ,"11,288 EUR / year",month,12,M.Sc.,Part-time,,,
Data Analytics,University of Wisconsin - Whitewater,Online,The Data Analytics program of University of Wisconsin - Whitewater prepares students for managerial positions requiring a solid foundation in data mining and analytics.,552 EUR / credit,month,12,M.B.A.,Part-time,,,
Data Science for Decision Making,Maastricht University,"Maastricht, Netherlands","Data Science for Decision Making programme at Maastricht University will familiarise you with methods, techniques and algorithms that can be used to address major issues in mathematical modelling and decision making. You will also get hands-on experience in applying this knowledge through computer classes, group research projects and the thesis research.","16,800 EUR / year",month,24,M.Sc.,Full-time,,,
Mobile Computing,University of Applied Sciences Upper Austria,"Hagenberg im Mühlkreis, Austria","Students of our international, English-taught Master in Mobile Computing at University of Applied Sciences Upper Austria will get a more in-depth insight of the almost limitless possibilities of a truly global, all-pervasive, mobile computing connectivity. ","1,452 EUR / year",month,24,M.Sc.,Full-time,,,
Professional Studies in Data Analytics - Marketing Analytics Option,Penn State World Campus,Online,"Professional Studies in Data Analytics - Marketing Analytics Option from Penn State World Campus delivers the knowledge to help you design, implement, and apply data analysis techniques to solve today's complex marketing challenges. ",907 EUR / credit,month,12,Part-time,,,,
Computer Engineering,International Telematic University UNINETTUNO,Online,"The second-cycle degree course in Computer Engineering at the International Telematic University UNINETTUNO is basically aimed at training engineers able to work in the fields of design, engineering, development, operation and management of computer applications and plants, of information processing systems and complex information systems.","2,200 EUR / year",month,24,Part-time,,,,
Data Science,University of Essex,"Colchester, England, United Kingdom","The techniques we use to model and manipulate data guide the political, financial and social decisions that shape our modern society and are the basis of growth of the economy and success of businesses. Technology is growing and evolving at an incredible speed, and both the rate of growth of data we generate and the devices we use to process it can only increase.","19,755 EUR / year",month,12,M.Sc.,Full-time,,,
Data Analytics and Enterprise Architecture,Rdi Uk,Online,"Our online MSc in Data Analytics and Enterprise Architecture will provide you with an understanding of how to identify and design appropriate methods of gathering data in the complex modern computing systems of today and how to draw insights from this, and present data to inform decision making.","5,976 EUR / year",month,18,M.Sc.,Full-time,,,
Game Development,Algebra University College,"Zagreb, Croatia",We’ll learn how to develop games on all platforms and we’ll look at modern and future trends in order to best equip your skill set to be in line and ahead of the development curve. Game Development at Algebra University College have ensured a work placement internship for you with one of the well-known industry players in Croatia or the EU. ,"4,960 EUR / year",month,24,Full-time,,,,
Data Journalism,Birmingham City University,"Birmingham, England, United Kingdom",The MA in Data Journalism is a cutting edge course designed to give you the interactive storytelling skills needed to work within a growing number of jobs in the media and beyond. Data Journalism is provided by Birmingham City University.,"14,127 EUR / year",month,12,Full-time,Part-time,,,
Applied Security and Analytics,University of Findlay,"Findlay, Ohio, United States","The Applied Security and Analytics program at the University of Findlay provides advanced courses in leadership, big data analytics and cybersecurity that will expand your business skills in strategic planning, finance, security and project management.","1,231 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics,University of Houston Downtown,"Houston, Texas, United States","The Master of Science in Data Analytics (MSDA) at the University of Houston Downtown is a theory and application-based program that will provide students with a broad education in advanced statistics, digital data acquisition, digital data management, data analysis, and data presentation. ","7,893 EUR / year",month,12,M.Sc.,Full-time,,,
Big Data Technologies,University of Westminster,"London, England, United Kingdom","The Big Data Technologies degree offered at the University of Westminster addresses technologies, advanced theories and techniques, along with their application, implementation and integration with legacy systems.","15,451 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Industrial and Applied Mathematics (MSIAM),Grenoble INP Institute of engineering Univ. Grenoble Alpes,"Grenoble, France",The Industrial and Applied Mathematics (MSIAM) programme of Grenoble INP Institute of engineering Univ. Grenoble Alpes promotes training in interdisciplinary research.,"3,770 EUR / year",month,24,M.Sc.,Full-time,,,
Data and Knowledge Management,The University of Manchester,"Manchester, England, United Kingdom",The Data and Knowledge Management pathway from The University of Manchester allows students to take specialist themes concerned with methods and technologies for the adequate management of data and knowledge. ,"27,591 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,University of Adelaide,"Adelaide, South Australia, Australia",The Data Science program from University of Adelaide explores how data is changing our world. We give you the knowledge and skills to contribute in the areas you care about.,"26,594 EUR / year",month,24,Full-time,Part-time,,,
Data-Intensive Analysis,University of St Andrews,"Saint Andrews, Scotland, United Kingdom",The MSc in Data-Intensive Analysis at the University of St Andrews is an interdisciplinary course providing students with an understanding of how data is used to gain useful insights in all areas of scientific endeavour. The programme has a substantive statistical component – both theory and practice – allied to computational data science and visualisation.,"25,483 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Internet of Things,EURECOM - Graduate school and Research center in Digital Science,"Sophia Antipolis, France","The Internet of Things programme offered by EURECOM - Graduate School and Research Center in Digital Science -  represents a new stage in the digital revolution, fully contributing to the construction of a digital society. ","6,000 EUR / year",month,24,M.Sc.,Full-time,,,
Public Policy Data Science,University of Southern California,"Los Angeles, California, United States",Informatics and big data are increasingly essential to policy development throughout the public and private sectors.Bolster your decision-making role in government agencies and the corporate realm with the University of Southern California Price School of Public Policy and USC Viterbi School of Engineering’s Master of Science in Public Policy Data Science.,"49,650 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics,The City University of New York,"New York City, New York, United States",The MS in Data Analytics online degree program at The City University of New York helps students earn the credentials and acquire the skills needed to enter or advance in the fast-growing field of data science. ,741 EUR / credit,month,12,M.Sc.,Full-time,,,
Data Analytics,George Washington University,"Washington, D. C., Washington, D.C., United States","Administered jointly through the Department of Computer Science and the Department of Engineering Management & Systems Engineering, the Master of Science in Data Analytics offered by George Washington University aims to address the growing demand for professionals skilled in big data and data analytics in government, industry and research organizations.","1,765 EUR / credit",month,24,M.Sc.,Full-time,,,
Biobanks and Complex Data Management,Université Côte d'Azur,Multiple locations,"The Biobanks and Complex Data Management programme taught at Université Côte d'Azur opens immediate career opportunities in a variety of sectors such as of human health, pharmaceutical and biotechnology industrial laboratories, and agricultural industry.","4,000 EUR / year",month,24,M.Sc.,Full-time,,,
Big Data in Culture and Society,King's College London,"London, England, United Kingdom",The Big Data in Culture and Society MA at King's College London recognises the growing importance of Big Data in contemporary society and addresses the theory and practice of Big Data from an arts and humanities perspective.  ,"29,302 EUR / year",month,12,M.A.,Full-time,Part-time,,
Data Analytics,London Metropolitan University,"London, England, United Kingdom","On this MSc in Data Analytics programme at London Metropolitan University you'll be introduced to subjects including data mining, statistical modelling, business intelligence and data visualisation.","14,623 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,University of Sheffield,"Sheffield, England, United Kingdom","Data Analytics  degree offered at University of Sheffield gives you valuable hands-on experience. We teach you how to apply what you learn in business and industry, anywhere in the world.","27,370 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,University of Nottingham,"Nottingham, England, United Kingdom","Develop and apply computer science, statistics and mathematical methods to diverse and complex data collections to conduct research, solve problems and enable innovation.","26,918 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,University of North Dakota,"Grand Forks, North Dakota, United States",Gain the data science skills employers want with the Data Science program from University of North Dakota.,"19,886 EUR / year",month,24,M.Sc.,Full-time,Online,,
Data Science,Lancaster University,"Lancaster, England, United Kingdom","From business and finance or health and medicine, to infrastructure or education, data science plays a vital role in all aspects of the modern world. Data Science degree offered at Lancaster University will ensure you have an advanced level of skills, knowledge, and experience to achieve your career aspirations.","24,887 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science for Public Policy,Georgetown University,"Washington, D. C., Washington, D.C., United States","A unique curriculum at the intersection of data science and quantitative public policy analysis, the Data Science for Public Policy program from Georgetown University equips graduates with cutting-edge computational, analytical, and leadership skills.","41,756 EUR / year",month,24,Full-time,,,,
Social and Geographic Data Science,University College London (UCL),"London, England, United Kingdom",University College London (UCL)'s Social and Geographic Data Science MSc provides rigorous scientific and vocational training for the next generation of scientific modelling and decision-support professionals.,"25,759 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Information Science (Data Analytics),Northumbria University,"Newcastle upon Tyne, England, United Kingdom",Are you looking for a Masters-level qualification that will open doors to jobs and promotions in the field of data analytics? This Information Science (Data Analytics) course from Northumbria University combines core modules in information science with specialised modules in Database Modelling as well as Statistics and Business Intelligence.,"17,107 EUR / year",month,12,M.Sc.,Full-time,,,
Big Data Technology,Hong Kong University of Science and Technology,"Hong Kong, Hong Kong (SAR)",This Big Data Technology programe offered by Hong Kong University of Science and Technology  is jointly offered by the Department of Computer Science and Engineering and the Department of Mathematics. ,"23,235 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Big Data and Management,LUISS University,"Roma, Italy","The Big Data and Management programme at LUISS University  prepares students to work effectively with heterogonous, large-scale, real-world data, training them to become experts in extracting useful business insights.","15,000 EUR / year",month,12,M.Sc.,Full-time,,,
Scientific Computing and Data Analysis,Durham University,"Durham, England, United Kingdom","The Scientific Computing and Data Analysis course offered by Durham University is intended to provide Masters-level education in Computer Science aspects of scientific computing (algorithms, data structures, implementation techniques and computer tool usage), in Mathematical aspects of data analysis and application knowledge in the chosen specialisation domain.","27,591 EUR / year",month,12,M.Sc.,Full-time,,,
Applied Data Science,University of Southern California,"Los Angeles, California, United States",The objective of the University of Southern California Viterbi Master of Science in Applied Data Science is to train students that have limited or no background in computer science to be skilled data scientists.   ,"1,739 EUR / credit",month,24,M.Sc.,Full-time,,,
Digital Marketing,University College Dublin,"Dublin, Ireland","This full-time Masters course in Digital Marketing at University College Dublin is aimed at graduates who wish to develop a deep understanding and high level of competence in the application of digital marketing tools and techniques. The combination of strategic, analytical and practical elements will provide graduates of this course with a distinct advantage in the marketplace.","19,900 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Applied and Industrial Mathematics,International Telematic University UNINETTUNO,Online,"The Master’s Course in Applied and Industrial Mathematics at the International Telematic University UNINETTUNO aims at training professional profiles able to take part in analysis, design, realization and management activities in scientific and technical areas.","3,200 EUR / year",month,12,Part-time,,,,
Data Science and Strategic Analytics,Stockton University,"Ocean Acres, New Jersey, United States","The Data Science and Strategic Analytics (DSSA) Program at Stockton is a self-standing, master’s degree program. A student entering the program will acquire substantial experience in sophisticated, industry standard, computational software and programming tools that will allow the student to explore data driven problems in the science, business, social science, medicine and/or the humanities.",833 EUR / credit,month,24,M.Sc.,Full-time,,,
Data Science,Lipscomb University,"Memphis, Florida, United States","The Data Science program offered by the Lipscomb University deals with big data to find insights into new and emerging types of data and content, is the sought-after professional.","1,117 EUR / credit",month,12,Full-time,,,,
Business Analytics,The Chinese University of Hong Kong,"Hong Kong, Hong Kong (SAR)",The MSc in Business Analytics programme at The Chinese University of Hong Kong is an advanced one-year programme designed to train professionals to analyse data with quantitative tools and convert it into useful information. You will be equipped to guide strategic decision making for organisations all over the world.,"33,392 EUR / year",month,12,M.Sc.,Full-time,,,
Data Analytics,Robert Morris University,"New York City, New York, United States","The M.S. in Data Analytics extends the concepts in systems analysis and information systems management to the tools, concepts, and processes used to collect, analyze, store, and support organizational decisions from external information sources.",798 EUR / credit,,,M.Sc.,Full-time,Blended Learning,,
Advanced Computer Science,Birmingham City University,"Birmingham, England, United Kingdom","The MSc Advanced Computer Science programme intends to develop your competence in using tools and techniques for producing computer systems solutions, from a sound mathematical and scientific base while appreciating the professional responsibilities and quality needed by industry. The Advanced Computer Science - MSc is provided by Birmingham City University.","14,127 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,School of Mathematical and Computer Sciences,"Edinburgh, Scotland, United Kingdom","The Data Science programme at Heriot-Watt University teaches the theory and skills for managing and analyzing large, complex data sets – sometimes called Big Data. ","20,616 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,Rochester Institute of Technology,"Rochester, New York, United States","The Data Science program of Rochester Institute of Technology appeals to professionals looking to enhance their skill set, and includes opportunities for customized course work within the broad field of data science and its various application areas.","41,209 EUR / year",month,24,M.Sc.,Full-time,Online,,
Data Science and Entrepreneurship,Jheronimus Academy of Data Science (JADS),Multiple locations,"The two-year Data Science and Entrepreneurship programme is a joint master by Tilburg University and Eindhoven University of Technology, offered at the Jheronimus Academy of Data Science (JADS), and therefore a truly interdisciplinary business-technology-analytics program.","16,200 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science and Analytics,University of Maryland,"College Park, Maryland, United States","The MPS in Data Science and Analytics program from University of Maryland provides an education in the theory and practice of data science including mathematical and statistical foundations, computational approaches, and communication considerations.","33,819 EUR / year",month,24,Full-time,,,,
Computational Data Science,Temple University,"Philadelphia, Pennsylvania, United States",Extract knowledge from big data with the Master of Science in Computational Data Science in Temple University’s College of Science and Technology.,"1,313 EUR / credit",month,60,M.Sc.,Full-time,Part-time,,
Applied Social Data Science,London School of Economics and Political Science,"London, England, United Kingdom","This interdisciplinary Applied Social Data Science programme from London School of Economics and Political Science will provide you with training in fundamental aspects of applied data science, computation and programming, and quantitative methods.","32,844 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,ETH Zurich - Swiss Federal Institute of Technology,"Basel, Switzerland","Data Science is a driving force of today's information age. The specialized ETH Zurich - Swiss Federal Institute of Technology Master's program in data science, offered in collaboration with the Department of Mathematics as well as the Department of Information Technology and Electrical Engineering, provides a high quality education geared towards nurturing the next generation of data scientists.","1,240 EUR / year",month,18,Full-time,,,,
Data Science,Newcastle University,"Newcastle upon Tyne, England, United Kingdom","The Data Science programme from Newcastle University gives you the knowledge, experience, and expertise to solve real-world problems and realise data-driven insights for organisations.","25,825 EUR / year",month,12,Full-time,Part-time,,,
Computational Intelligence and Data Mining,Czestochowa University of Technology,"Czestochowa, Poland",Apply now for this Computational Intelligence and Data Mining programme offered by Czestochowa University of Technology.,"1,920 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics,University of Glasgow,"Glasgow, Scotland, United Kingdom","This Data Analytics programme from University of Glasgow will provide you with a thorough grounding in state-of-the art methods for learning from data, both in terms of statistical modelling and computation. You will also gain practical hands-on experience in carrying out various data-driven analytical projects. Previous study of Statistics or Computing Science is not required.","25,936 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science and Business Analytics,University of Warsaw,"Warsaw, Poland","The Data Science and Business Analytics Programme at the Faculty of Economic Sciences, University of Warsaw is a four-semester program on a full-time basis that provides students with outstanding knowledge of data science. ","2,200 EUR / year",month,24,M.A.,Full-time,,,
Data Science,University of Southampton,"Southampton, England, United Kingdom","This one year Data Science degree at University of Southampton prepares you to become a proficient data scientist, building core areas of expertise, from the ability to operate high-performance computing clusters and cloud-based infrastructures, to devising and applying sophisticated Big Data analytics techniques.","28,088 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,Ulster University,"Coleraine, N Ireland, United Kingdom",Data Science is a rapidly developing field of study within both academia and industry. Data Science degree offered at Ulster University ensures its wide application domain. ,"15,981 EUR / year",,,M.Sc.,Part-time,,,
"Informatics - LFCS - Theory and Foundations of Computer Science, Databases, Software and Systems Modelling",The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","The Informatics - LFCS - Theory and Foundations of Computer Science, Databases, Software and Systems Modelling programme offered by The University of Edinburgh continues to lead the way in the development of mathematical models, theories and tools that probe the possibilities of computation and communication.","31,068 EUR / year",month,12,Full-time,Part-time,,,
Data Analytics,University College Dublin,Online,This Data Analytics online course at University College Dublin will help you analyse and understand the large data sets that are regularly being created via the huge growth in freely available online information.,134 EUR / credit,month,36,M.Sc.,Part-time,,,
Data Science,University of Dundee,"Dundee, Scotland, United Kingdom",The MSc Data Science from University of Dundee will equip you with the skills and knowledge for the next generation of data manipulation and analysis.,"24,225 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Information Technology (with a Concentration in Data Science),California State University Fullerton,"Fullerton, California, United States","The Information Technology, Data Science Concentration provides students with knowledge, skills and experience in data processing and analytics in the context of business. Students learn to articulate strategies and methods that allow for the effective use and management of data storage and analytics within an organization.",,month,24,M.Sc.,Full-time,,,
